review_index,sample_id,source_type,source_id,severity,status,first_seen,candidate_ground_truth_hint,label_review_status,label_ground_truth,label_attack_family,label_is_unknown,label_is_encrypted,prediction_review_status,prediction,prediction_score,threshold,third_party_decision,review_note
1,alert-cf171f474f1d2987,alert,alert-default-1782752318016-1dd589c4,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:38.016Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
22,alert-5f8b4ca5f0d8b0a4,alert,alert-default-1782750778479-27dd495b,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:32:58.479Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
23,alert-42d9339ec7535f56,alert,alert-default-1782752311418-988a7b55,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.418Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
24,alert-1edfa1af86378304,alert,alert-default-1782751571478-1d7870e8,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:46:11.478Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
25,alert-0eb085c53ac70ac1,alert,alert-default-1782752311386-0db6b12c,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.386Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
26,alert-9da443d83f3e6d87,alert,alert-default-1782752311286-c5ba6c66,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.286Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
27,alert-2db63474a60c65a3,alert,alert-default-1782752311272-9d220de5,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.272Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
28,alert-00f32e642b425130,alert,alert-default-1782750754842-b680c8ea,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:32:34.842Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
29,alert-f704610a0f1b3647,alert,alert-default-1782750513919-7374a17b,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:28:33.919Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
30,alert-dcc94a9a12b0b88d,alert,alert-default-1782751982304-fd6213f9,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:53:02.304Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
31,alert-61f53903cc8de8c6,alert,alert-default-1782751258000-11364c79,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:40:58Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
32,alert-ce38376ab4e457b0,alert,alert-default-1782750860993-b5210fe1,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:34:20.993Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
33,alert-b0d2816f78cb2719,alert,alert-default-1782752310927-8fd53aea,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:30.927Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
34,alert-f3ebc64685780aab,alert,alert-default-1782752310488-b85470bd,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:30.488Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
35,alert-c38629dcac392403,alert,alert-default-1782750706422-876feb9e,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:31:46.422Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
36,alert-d7dbe2f77dc77e10,alert,alert-default-1782752310377-43ee1b3f,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:30.377Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
37,alert-27ddf3ff0f8b186c,alert,alert-default-1782752237379-b6320cc6,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:57:17.379Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
38,alert-8707ab55af67fce9,alert,alert-default-1782752264259-7185fbe1,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:57:44.259Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
39,alert-7086743c012c2b6c,alert,alert-default-1782751681019-f8d90b15,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:48:01.019Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
40,alert-7cc4729f362627d3,alert,alert-default-1782752310345-1acd6351,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:30.345Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
41,alert-7c4bb629c170fac4,alert,alert-default-1782752310343-d5a6037e,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:30.343Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
42,alert-8c26afe2d49410d9,alert,alert-default-1782752264226-7e8f2ad1,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:57:44.226Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
43,alert-d5e0f7ecba812475,alert,alert-default-1782752310267-c6348927,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:30.267Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
44,alert-0117c0e32e894e81,alert,alert-default-1782752238271-0cd82673,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:57:18.271Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
45,alert-59e1cf4fd719ef59,alert,alert-default-1782752265093-8524ae16,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:57:45.093Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
